,cv_split,mse,split,classifier,params,config,infile,run
0,split0_test_score,0.2686230248306998,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.254326561324304,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.2580887885628292,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.9574868322046651,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.944319036869827,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.9454477050413845,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-89.72072087692538,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-82.91990469634995,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-83.02963783746816,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-81.62269217747182,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-84.92875017702346,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-84.35588744657142,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-69.79008533848618,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-70.53615972958126,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-70.61797400680007,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure-combined_8PMLunique_4PMLS_nonu
