,cv_split,mse,split,classifier,params,config,infile,run
4,split1_train_score,-85.42454218534222,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-82.37587876226395,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-71.09506120555075,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-65.73505232650717,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-68.0708558008,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-15.561842522357892,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-16.24747674348296,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-14.989220160083699,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-71.11851800897969,test,XGB_sequential,,parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-72.0519423334255,test,XGB_sequential,,parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-71.03801069476064,test,XGB_sequential,,parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-46.06229357968478,train,XGB_sequential,,parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-47.38478121900424,train,XGB_sequential,,parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-46.89404302055264,train,XGB_sequential,,parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,0.29947328818660646,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 12, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.30699774266365687,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 12, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.3039879608728367,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 12, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,1.0,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 12, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,1.0,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 12, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,1.0,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 12, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-83.93600463867188,test,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 21, 'lr': 0.001, 'n1': 500}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-79.0440902709961,test,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 21, 'lr': 0.001, 'n1': 500}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-84.16172790527344,test,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 21, 'lr': 0.001, 'n1': 500}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-80.11992645263672,train,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 21, 'lr': 0.001, 'n1': 500}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-75.31433868408203,train,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 21, 'lr': 0.001, 'n1': 500}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-75.76766204833984,train,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 21, 'lr': 0.001, 'n1': 500}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
