,cv_split,mse,split,classifier,params,config,infile,run
0,split0_test_score,0.27012791572610984,test,SVC,"{'C': 100, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.2520692249811889,test,SVC,"{'C': 100, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.27163280662151995,test,SVC,"{'C': 100, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.9676448457486833,train,SVC,"{'C': 100, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.972535741158766,train,SVC,"{'C': 100, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.9721595184349134,train,SVC,"{'C': 100, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-85.02542103950321,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-81.34384555127464,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-87.81490261313091,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-83.04364048040074,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_structure_selection.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_structure_selection-combined_8PMLunique_4PMLS_nonu
