,cv_split,mse,split,classifier,params,config,infile,run
0,split0_test_score,0.2768999247554552,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.27163280662151995,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.24680210684725357,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.9078254326561325,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.9149736644093304,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.9123401053423627,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-87.19107958292565,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-90.6130152350997,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-83.62883392370003,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-86.16559947108598,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-84.99174647139925,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-88.07552403436476,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-68.58895178310114,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-71.41804412481785,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-70.94184688796916,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-12.193283036665363,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-12.157716293380043,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-12.842425935133166,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 3, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-77.78032900413469,test,XGB_sequential,,parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-71.07169685451089,test,XGB_sequential,,parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-74.18204768134564,test,XGB_sequential,,parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-37.11736601600625,train,XGB_sequential,,parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-37.529896355538284,train,XGB_sequential,,parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-35.01053846987151,train,XGB_sequential,,parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,0.30248306997742663,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.2836719337848006,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.3107599699021821,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,1.0,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,1.0,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.9996237772761475,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-88.35733795166016,test,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 14, 'lr': 0.001, 'n1': 200}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-83.64434814453125,test,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 14, 'lr': 0.001, 'n1': 200}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-87.9803695678711,test,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 14, 'lr': 0.001, 'n1': 200}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-84.0711441040039,train,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 14, 'lr': 0.001, 'n1': 200}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-84.11859893798828,train,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 14, 'lr': 0.001, 'n1': 200}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-85.04529571533203,train,FNN,"{'batch_size': 64, 'd1': 0.1, 'epochs': 100, 'input_dim': 14, 'lr': 0.001, 'n1': 200}",parameters/faims_smaller.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_smaller-combined_8PMLunique_4PMLS_nonu
