,cv_split,mse,split,classifier,params,config,infile,run
0,split0_test_score,0.2626034612490594,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.2633559066967645,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.2513167795334838,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.9507148231753197,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.9499623777276147,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.9480812641083521,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-83.50950828248507,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-83.34933476683433,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-81.96864193326634,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-81.46912445723679,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-81.2564196529646,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-82.45370737092794,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-65.61731690061418,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-70.26595811805441,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
