,cv_split,mse,split,classifier,params,config,infile,run
2,split2_test_score,-66.15041528850415,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-15.366537944122284,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-14.928147272555957,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-15.479518979164613,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-75.60866510795871,test,XGB_sequential,,parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-69.16316330107796,test,XGB_sequential,,parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-66.11766120964508,test,XGB_sequential,,parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-42.64808043416346,train,XGB_sequential,,parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-45.4620703011547,train,XGB_sequential,,parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-45.864076182312715,train,XGB_sequential,,parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,0.29947328818660646,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.291196388261851,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.31000752445447705,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.999247554552295,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.999247554552295,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.9988713318284425,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-80.13917541503906,test,FNN,"{'batch_size': 32, 'd1': 0.3, 'epochs': 100, 'input_dim': 35, 'lr': 0.001, 'n1': 500}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-79.6256332397461,test,FNN,"{'batch_size': 32, 'd1': 0.3, 'epochs': 100, 'input_dim': 35, 'lr': 0.001, 'n1': 500}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-77.59896087646484,test,FNN,"{'batch_size': 32, 'd1': 0.3, 'epochs': 100, 'input_dim': 35, 'lr': 0.001, 'n1': 500}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-76.15001678466797,train,FNN,"{'batch_size': 32, 'd1': 0.3, 'epochs': 100, 'input_dim': 35, 'lr': 0.001, 'n1': 500}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-74.09539794921875,train,FNN,"{'batch_size': 32, 'd1': 0.3, 'epochs': 100, 'input_dim': 35, 'lr': 0.001, 'n1': 500}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-74.95467376708984,train,FNN,"{'batch_size': 32, 'd1': 0.3, 'epochs': 100, 'input_dim': 35, 'lr': 0.001, 'n1': 500}",parameters/faims_all.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_all-combined_8PMLunique_4PMLS_nonu
