,cv_split,mse,split,classifier,params,config,infile,run
4,split1_train_score,-67.26981139667285,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-68.19450858669369,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-89.72156309191494,test,XGB_sequential,,parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-87.78841308451736,test,XGB_sequential,,parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-82.13247071952011,test,XGB_sequential,,parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-74.0128922452231,train,XGB_sequential,,parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-75.52591917924727,train,XGB_sequential,,parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-77.55690444916672,train,XGB_sequential,,parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,0.24454477050413845,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 25, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.24303987960872836,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 25, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.2520692249811889,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 25, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.290443942814146,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 25, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.3216704288939052,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 25, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.30323551542513166,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 25, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-89.36216735839844,test,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 7, 'lr': 0.001, 'n1': 100}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-94.12207794189453,test,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 7, 'lr': 0.001, 'n1': 100}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-94.06539154052734,test,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 7, 'lr': 0.001, 'n1': 100}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-93.26274108886719,train,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 7, 'lr': 0.001, 'n1': 100}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-92.72833251953125,train,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 7, 'lr': 0.001, 'n1': 100}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-88.8558120727539,train,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 7, 'lr': 0.001, 'n1': 100}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
