,cv_split,mse,split,classifier,params,config,infile,run
0,split0_test_score,0.2234762979683973,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.21595184349134688,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.24604966139954854,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.2983446200150489,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.2927012791572611,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.28517682468021066,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-91.80236561228078,test,SVR,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-89.00639011184455,test,SVR,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-90.50899985661593,test,SVR,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-85.13277910768512,train,SVR,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-88.48674440638493,train,SVR,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-87.1837082647087,train,SVR,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-85.70116517985997,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-89.59892347390287,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-85.92278303125221,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-68.42860688466794,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 50, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_minimal.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_minimal-combined_8PMLunique_4PMLS_nonu
