,cv_split,mse,split,classifier,params,config,infile,run
0,split0_test_score,-80.08817671910394,test,XGB_sequential,,parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-75.18318530545189,test,XGB_sequential,,parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-77.69917297508893,test,XGB_sequential,,parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-54.36101330657649,train,XGB_sequential,,parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-56.895037630708984,train,XGB_sequential,,parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-53.717344576911934,train,XGB_sequential,,parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,0.28592927012791575,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.3160270880361174,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.2927012791572611,test,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.9996237772761475,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.999247554552295,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.999247554552295,train,XGBC,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.3, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 250, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-90.31884002685547,test,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 10, 'lr': 0.01, 'n1': 100}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-92.75415802001953,test,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 10, 'lr': 0.01, 'n1': 100}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-86.89515686035156,test,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 10, 'lr': 0.01, 'n1': 100}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-86.8448257446289,train,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 10, 'lr': 0.01, 'n1': 100}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-88.15585327148438,train,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 10, 'lr': 0.01, 'n1': 100}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-92.22689056396484,train,FNN,"{'batch_size': 32, 'd1': 0.1, 'epochs': 100, 'input_dim': 10, 'lr': 0.01, 'n1': 100}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
