,cv_split,mse,split,classifier,params,config,infile,run
0,split0_test_score,0.25733634311512416,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,0.25357411587659895,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,0.25733634311512416,test,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,0.8212942061700527,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,0.8216704288939052,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,0.8393528969149736,train,SVC,"{'C': 10, 'gamma': 100.0, 'kernel': 'rbf'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-93.41842358512635,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-95.50057018006684,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-88.5755718347513,test,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-92.02911149963789,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-89.30890994488341,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-93.61088853627578,train,SVR,"{'C': 100, 'kernel': 'linear'}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
0,split0_test_score,-77.20813089266694,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
1,split1_test_score,-77.1420989631609,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
2,split2_test_score,-72.41470954485806,test,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
3,split0_train_score,-30.016582114692916,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
4,split1_train_score,-28.352750985162885,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
5,split2_train_score,-29.916137642222864,train,XGBR,"{'colsample_bytree': 0.7, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 150, 'nthread': 1, 'reg_alpha': None, 'seed': 42, 'subsample': 0.9}",parameters/faims_small.yaml,data/combined_8PMLunique_4PMLS_nonu.csv,faims_small-combined_8PMLunique_4PMLS_nonu
